actor_entropy,actor_loss,critic_loss,duration,episode,episode_reward,step,target_entropy
-2.236040538620381,1.7354358448868705,-0.2615600913940441,8.928940296173096,71.0,336.0,2713,-1.0
-2.4648360596146692,1.890446162501047,-0.2632838529209758,2.008903980255127,72.0,86.0,2799,-1.0
-2.2887140777375965,1.8873473935657077,-0.2757447461287181,0.20566582679748535,73.0,9.0,2808,-1.0
-2.03272750377655,1.9243412852287292,-0.2680365338921547,0.23917889595031738,74.0,10.0,2818,-1.0
-2.4239143399358953,1.8802842758234264,-0.2580011216471496,2.4260334968566895,75.0,103.0,2921,-1.0
-2.5400469120059697,2.0955436268023084,-0.2661429168390376,10.605360507965088,76.0,280.0,3202,-1.0
-2.5988712941899017,2.2933405964982274,-0.26155729474974615,2.4852585792541504,77.0,102.0,3304,-1.0
-2.7520189120282765,2.4112030849324793,-0.2627419758214258,8.198634386062622,78.0,289.0,3593,-1.0
-2.968404627058713,2.639982461398322,-0.2597885409614822,13.337228536605835,79.0,449.0,4043,-1.0
-3.1544168796539305,3.083760949611664,-0.26282887810468675,13.129101753234863,80.0,500.0,4543,-1.0
-2.959043633855243,3.484967067665646,-0.2632544111744361,11.004166603088379,81.0,433.0,4976,-1.0
-2.9726391693936334,3.352630258141077,-0.25855944476052783,8.471874237060547,82.0,223.0,5200,-1.0
-2.945238669546027,3.5669306323402807,-0.2614529972327383,12.435091257095337,83.0,475.0,5675,-1.0
-2.7340435261527696,3.384879902501901,-0.25890901546614864,15.766285419464111,84.0,480.0,6156,-1.0
-2.631146118402481,3.1659180264472964,-0.2603780773282051,12.92832636833191,85.0,500.0,6656,-1.0
-2.6989959186538126,3.3126305316988365,-0.2590176472092565,6.371351003646851,86.0,241.0,6897,-1.0
-2.5718494069576265,3.325785964488983,-0.2609009167253971,16.398154258728027,87.0,500.0,7398,-1.0
-2.4614973032474516,3.5195632853507997,-0.2613920843601227,12.971585988998413,88.0,500.0,7898,-1.0
-2.5002646341323853,3.5617183661460876,-0.26326452127099037,14.39121675491333,89.0,500.0,8399,-1.0
-2.4946702370643616,4.208093671798706,-0.2626884768605232,12.955988883972168,90.0,500.0,8899,-1.0
-2.4335096638202667,3.897957809448242,-0.2594143296927214,14.499486923217773,91.0,500.0,9400,-1.0
-2.3869475421905517,3.5890972275733946,-0.260576383382082,12.93869400024414,92.0,500.0,9900,-1.0
-2.3237130491733553,3.692027736186981,-0.2621617304086685,16.31009531021118,93.0,500.0,10401,-1.0
-2.3652896308898925,4.208505383968353,-0.2626879136264324,13.169519424438477,94.0,500.0,10901,-1.0
-2.3753482751846313,4.269070790290833,-0.26514272031188013,16.137410879135132,95.0,500.0,11402,-1.0
-2.349876769210981,4.166940742068821,-0.2621295280610594,10.930772066116333,96.0,414.0,11816,-1.0
-2.322511943760297,4.086481168043798,-0.261155895855911,14.833250045776367,97.0,453.0,12270,-1.0
-2.4150971624815183,4.181755371279129,-0.2656331065535288,12.426076889038086,98.0,463.0,12733,-1.0
-2.436665515899658,4.4028915839195255,-0.26251635870337486,16.597086906433105,99.0,500.0,13234,-1.0
-2.3309194321632387,4.135417395591736,-0.26131812840700147,13.159270763397217,100.0,500.0,13734,-1.0
-2.369341010323708,4.3194704734212985,-0.2633632285000509,13.518656253814697,101.0,369.0,14104,-1.0
-2.3027020864486696,4.0517955164909365,-0.26196866154670717,13.26072907447815,102.0,500.0,14604,-1.0
-2.3519563475251197,4.11747694849968,-0.2648187205567956,14.662640810012817,103.0,400.0,15005,-1.0
-2.3231864712238313,4.305456684112549,-0.2613059811592102,13.267446041107178,104.0,500.0,15505,-1.0
-2.290992134809494,4.71366179227829,-0.2690375990569592,16.70322823524475,105.0,500.0,16006,-1.0
-2.3642224268835097,4.760450237110013,-0.26145714652709295,13.010473251342773,106.0,488.0,16494,-1.0
-2.3641810417175293,4.391096228599548,-0.26250747552514075,13.23269510269165,107.0,500.0,16994,-1.0
-2.2834283555617354,3.894562794568953,-0.25994893252639706,14.930773735046387,108.0,426.0,17421,-1.0
-2.3215648403167726,4.202826706409454,-0.2660408759266138,13.26614761352539,109.0,500.0,17921,-1.0
-2.373385901927948,4.877574939727783,-0.26683118331432343,14.067225217819214,110.0,500.0,18422,-1.0
-2.3707995193004607,4.4541057372093205,-0.2609794565439224,13.266014099121094,111.0,500.0,18922,-1.0
-2.3968271028995516,4.111628538131714,-0.2609869972616434,15.56494665145874,112.0,500.0,19423,-1.0
-2.402251278400421,4.395562665939331,-0.2649991412013769,13.113091230392456,113.0,500.0,19923,-1.0
-2.3674239583015444,4.185911981582642,-0.25981535129249095,16.190166473388672,114.0,500.0,20424,-1.0
-2.3571004276275636,3.8842090907096862,-0.2604141278713942,13.277223110198975,115.0,500.0,20924,-1.0
-2.350076293706894,3.7030712060928344,-0.2632027719467878,17.0495388507843,116.0,500.0,21425,-1.0
-2.327302161693573,3.9559655742645266,-0.2628403283953667,12.759856462478638,117.0,500.0,21925,-1.0
-2.3122574999332426,4.1238590440750125,-0.2641553365886211,17.109389305114746,118.0,500.0,22426,-1.0
-2.352998009443283,4.423089283466339,-0.2670019204467535,12.936889410018921,119.0,500.0,22926,-1.0
-2.362571744918823,5.036377033233642,-0.26786084219813344,16.779847383499146,120.0,500.0,23427,-1.0
-2.3955482904911043,4.826746216773987,-0.2630491589009762,13.103368520736694,121.0,500.0,23927,-1.0
-2.405489492893219,4.993191796302796,-0.26745993918180466,16.427911281585693,122.0,500.0,24428,-1.0
-2.3914037964344024,4.9499868421554565,-0.26419126623868944,12.895091772079468,123.0,500.0,24928,-1.0
-2.395507869243622,4.98298379611969,-0.269273057281971,16.635379314422607,124.0,500.0,25429,-1.0
-2.3790543448925017,5.127868076324463,-0.2614006391167641,13.256810903549194,125.0,500.0,25929,-1.0
-2.3463686013221743,4.503352892398834,-0.26373342050611975,16.556713581085205,126.0,500.0,26430,-1.0
-2.3155352902412414,3.977903592586517,-0.25880745208263395,13.181553840637207,127.0,500.0,26930,-1.0
-2.3080557527542114,4.010766992092132,-0.2657747282832861,16.935356855392456,128.0,500.0,27431,-1.0
-2.3248622608184815,4.299036940574646,-0.26371510750055316,13.088759899139404,129.0,500.0,27931,-1.0
-2.3162959928512574,3.96286284160614,-0.26246225653588773,17.228299617767334,130.0,500.0,28432,-1.0
-2.340291344642639,4.12370007610321,-0.26450241120159623,13.224253416061401,131.0,500.0,28932,-1.0
-2.3316595668792726,4.555748611450196,-0.26652070781588555,16.54680061340332,132.0,500.0,29433,-1.0
-2.3631088111400604,4.661787584304809,-0.26631269353628156,13.275221347808838,133.0,500.0,29933,-1.0
