Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
12.2,1,0.0,0.0,12.2,0,0.0,0
178.7,1001,0.0,0.0,178.7,1,0.0,0
166.2,2001,0.0,0.0,166.2,2,0.0,0
99.0,3001,0.0,0.0,99.0,3,0.0,0
198.5,4001,0.0,0.0,198.5,4,0.0,0
200.1,5001,0.0,0.0,200.1,5,0.0,0
129.3,6001,0.0,0.0,129.3,6,0.0,0
230.6,7001,0.0,0.0,230.6,7,0.0,0
265.8,8001,0.0,0.0,265.8,8,0.0,0
313.8,9001,0.0,0.0,313.8,9,0.0,0
331.6,10001,0.0,0.0,331.6,10,0.0,0
249.7,11001,0.0,0.0,249.7,11,0.0,0
216.9,12001,0.0,0.0,216.9,12,0.0,0
329.1,13001,0.0,0.0,329.1,13,0.0,0
288.3,14001,0.0,0.0,288.3,14,0.0,0
215.0,15001,0.0,0.0,215.0,15,0.0,0
209.7,16001,0.0,0.0,209.7,16,0.0,0
260.4,17001,0.0,0.0,260.4,17,0.0,0
273.9,18001,0.0,0.0,273.9,18,0.0,0
345.2,19001,0.0,0.0,345.2,19,0.0,0
214.6,20001,0.0,0.0,214.6,20,0.0,0
366.9,21001,0.0,0.0,366.9,21,0.0,0
310.8,22001,0.0,0.0,310.8,22,0.0,0
392.2,23001,0.0,0.0,392.2,23,0.0,0
363.8,24001,0.0,0.0,363.8,24,0.0,0
207.7,25001,0.0,0.0,207.7,25,0.0,0
376.0,26001,0.0,0.0,376.0,26,0.0,0
284.1,27001,0.0,0.0,284.1,27,0.0,0
270.4,28001,0.0,0.0,270.4,28,0.0,0
121.9,29001,0.0,0.0,121.9,29,0.0,0
