Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
10.3,1,0.0,0.0,10.3,0,0.0,0
60.1,1001,0.0,0.0,60.1,1,0.0,0
120.5,2001,0.0,0.0,120.5,2,0.0,0
393.7,3001,0.0,0.0,393.7,3,0.0,0
395.9,4001,0.0,0.0,395.9,4,0.0,0
402.2,5001,0.0,0.0,402.2,5,0.0,0
393.8,6001,0.0,0.0,393.8,6,0.0,0
402.0,7001,0.0,0.0,402.0,7,0.0,0
244.7,8001,0.0,0.0,244.7,8,0.0,0
427.4,9001,0.0,0.0,427.4,9,0.0,0
500.0,10001,0.0,0.0,500.0,10,0.0,0
314.4,11001,0.0,0.0,314.4,11,0.0,0
500.0,12001,0.0,0.0,500.0,12,0.0,0
486.1,13001,0.0,0.0,486.1,13,0.0,0
237.7,14001,0.0,0.0,237.7,14,0.0,0
423.1,15001,0.0,0.0,423.1,15,0.0,0
423.6,16001,0.0,0.0,423.6,16,0.0,0
354.2,17001,0.0,0.0,354.2,17,0.0,0
422.0,18001,0.0,0.0,422.0,18,0.0,0
452.2,19001,0.0,0.0,452.2,19,0.0,0
419.6,20001,0.0,0.0,419.6,20,0.0,0
396.8,21001,0.0,0.0,396.8,21,0.0,0
463.2,22001,0.0,0.0,463.2,22,0.0,0
376.4,23001,0.0,0.0,376.4,23,0.0,0
465.2,24001,0.0,0.0,465.2,24,0.0,0
480.0,25001,0.0,0.0,480.0,25,0.0,0
493.1,26001,0.0,0.0,493.1,26,0.0,0
294.1,27001,0.0,0.0,294.1,27,0.0,0
500.0,28001,0.0,0.0,500.0,28,0.0,0
500.0,29001,0.0,0.0,500.0,29,0.0,0
