Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
-1243.6904,1,0.0,0.0,-1243.6904,0,0.0,0
-857.6565,5001,0.0,0.0,-857.6565,1,0.0,0
-200.1472,10001,0.0,0.0,-200.1472,2,0.0,0
-255.5089,15001,0.0,0.0,-255.5089,3,0.0,0
-393.1815,20001,0.0,0.0,-393.1815,4,0.0,0
-274.0873,25001,0.0,0.0,-274.0873,5,0.0,0
-146.2662,30001,0.0,0.0,-146.2662,6,0.0,0
-180.5953,35001,0.0,0.0,-180.5953,7,0.0,0
-148.8033,40001,0.0,0.0,-148.8033,8,0.0,0
-134.3062,45001,0.0,0.0,-134.3062,9,0.0,0
-149.885,50001,0.0,0.0,-149.885,10,0.0,0
-150.8842,55001,0.0,0.0,-150.8842,11,0.0,0
-446.3947,60001,0.0,0.0,-446.3947,12,0.0,0
-131.1217,65001,0.0,0.0,-131.1217,13,0.0,0
-199.7161,70001,0.0,0.0,-199.7161,14,0.0,0
-149.5901,75001,0.0,0.0,-149.5901,15,0.0,0
-188.57,80001,0.0,0.0,-188.57,16,0.0,0
-185.1009,85001,0.0,0.0,-185.1009,17,0.0,0
-187.8228,90001,0.0,0.0,-187.8228,18,0.0,0
-153.4454,95001,0.0,0.0,-153.4454,19,0.0,0
-204.7588,100001,0.0,0.0,-204.7588,20,0.0,0
-226.2221,105001,0.0,0.0,-226.2221,21,0.0,0
-264.1838,110001,0.0,0.0,-264.1838,22,0.0,0
-189.7954,115001,0.0,0.0,-189.7954,23,0.0,0
-161.3467,120001,0.0,0.0,-161.3467,24,0.0,0
-169.0864,125001,0.0,0.0,-169.0864,25,0.0,0
-211.574,130001,0.0,0.0,-211.574,26,0.0,0
-189.5935,135001,0.0,0.0,-189.5935,27,0.0,0
-161.9489,140001,0.0,0.0,-161.9489,28,0.0,0
-166.1421,145001,0.0,0.0,-166.1421,29,0.0,0
-185.2768,150001,0.0,0.0,-185.2768,30,0.0,0
-163.0206,155001,0.0,0.0,-163.0206,31,0.0,0
-148.8546,160001,0.0,0.0,-148.8546,32,0.0,0
-154.1843,165001,0.0,0.0,-154.1843,33,0.0,0
-189.0318,170001,0.0,0.0,-189.0318,34,0.0,0
-137.0793,175001,0.0,0.0,-137.0793,35,0.0,0
-204.8181,180001,0.0,0.0,-204.8181,36,0.0,0
-162.4304,185001,0.0,0.0,-162.4304,37,0.0,0
-174.1611,190001,0.0,0.0,-174.1611,38,0.0,0
-166.1506,195001,0.0,0.0,-166.1506,39,0.0,0
