Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
9.1,1,0.0,0.0,9.1,0,0.0,0
205.0,1001,0.0,0.0,205.0,1,0.0,0
211.1,2001,0.0,0.0,211.1,2,0.0,0
76.3,3001,0.0,0.0,76.3,3,0.0,0
192.1,4001,0.0,0.0,192.1,4,0.0,0
237.1,5001,0.0,0.0,237.1,5,0.0,0
164.4,6001,0.0,0.0,164.4,6,0.0,0
222.9,7001,0.0,0.0,222.9,7,0.0,0
163.0,8001,0.0,0.0,163.0,8,0.0,0
189.2,9001,0.0,0.0,189.2,9,0.0,0
258.3,10001,0.0,0.0,258.3,10,0.0,0
200.4,11001,0.0,0.0,200.4,11,0.0,0
334.4,12001,0.0,0.0,334.4,12,0.0,0
286.5,13001,0.0,0.0,286.5,13,0.0,0
278.7,14001,0.0,0.0,278.7,14,0.0,0
254.9,15001,0.0,0.0,254.9,15,0.0,0
324.3,16001,0.0,0.0,324.3,16,0.0,0
444.1,17001,0.0,0.0,444.1,17,0.0,0
376.6,18001,0.0,0.0,376.6,18,0.0,0
473.1,19001,0.0,0.0,473.1,19,0.0,0
325.7,20001,0.0,0.0,325.7,20,0.0,0
434.9,21001,0.0,0.0,434.9,21,0.0,0
500.0,22001,0.0,0.0,500.0,22,0.0,0
443.6,23001,0.0,0.0,443.6,23,0.0,0
483.4,24001,0.0,0.0,483.4,24,0.0,0
436.8,25001,0.0,0.0,436.8,25,0.0,0
276.3,26001,0.0,0.0,276.3,26,0.0,0
425.9,27001,0.0,0.0,425.9,27,0.0,0
492.2,28001,0.0,0.0,492.2,28,0.0,0
472.4,29001,0.0,0.0,472.4,29,0.0,0
