Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
-1181.4469,1,0.0,0.0,-1181.4469,0,0.0,0
-1562.493,5001,0.0,0.0,-1562.493,1,0.0,0
-464.7179,10001,0.0,0.0,-464.7179,2,0.0,0
-373.2757,15001,0.0,0.0,-373.2757,3,0.0,0
-490.2583,20001,0.0,0.0,-490.2583,4,0.0,0
-585.4225,25001,0.0,0.0,-585.4225,5,0.0,0
-286.3125,30001,0.0,0.0,-286.3125,6,0.0,0
-255.6634,35001,0.0,0.0,-255.6634,7,0.0,0
-981.7553,40001,0.0,0.0,-981.7553,8,0.0,0
-564.7417,45001,0.0,0.0,-564.7417,9,0.0,0
-448.5365,50001,0.0,0.0,-448.5365,10,0.0,0
-696.1983,55001,0.0,0.0,-696.1983,11,0.0,0
-392.5438,60001,0.0,0.0,-392.5438,12,0.0,0
-448.4242,65001,0.0,0.0,-448.4242,13,0.0,0
-246.9777,70001,0.0,0.0,-246.9777,14,0.0,0
-497.5205,75001,0.0,0.0,-497.5205,15,0.0,0
-856.2287,80001,0.0,0.0,-856.2287,16,0.0,0
-794.8756,85001,0.0,0.0,-794.8756,17,0.0,0
-771.5186,90001,0.0,0.0,-771.5186,18,0.0,0
-1118.6336,95001,0.0,0.0,-1118.6336,19,0.0,0
-636.3485,100001,0.0,0.0,-636.3485,20,0.0,0
-274.7502,105001,0.0,0.0,-274.7502,21,0.0,0
-653.7991,110001,0.0,0.0,-653.7991,22,0.0,0
-593.4559,115001,0.0,0.0,-593.4559,23,0.0,0
-607.3593,120001,0.0,0.0,-607.3593,24,0.0,0
-433.9702,125001,0.0,0.0,-433.9702,25,0.0,0
-359.2277,130001,0.0,0.0,-359.2277,26,0.0,0
-997.062,135001,0.0,0.0,-997.062,27,0.0,0
-689.1762,140001,0.0,0.0,-689.1762,28,0.0,0
-256.7186,145001,0.0,0.0,-256.7186,29,0.0,0
-859.3075,150001,0.0,0.0,-859.3075,30,0.0,0
-467.9421,155001,0.0,0.0,-467.9421,31,0.0,0
-533.9437,160001,0.0,0.0,-533.9437,32,0.0,0
-351.7128,165001,0.0,0.0,-351.7128,33,0.0,0
-715.2737,170001,0.0,0.0,-715.2737,34,0.0,0
-722.0111,175001,0.0,0.0,-722.0111,35,0.0,0
-482.6931,180001,0.0,0.0,-482.6931,36,0.0,0
-697.7472,185001,0.0,0.0,-697.7472,37,0.0,0
-856.0112,190001,0.0,0.0,-856.0112,38,0.0,0
-529.3999,195001,0.0,0.0,-529.3999,39,0.0,0
