Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
10.7,1,0.0,0.0,10.7,0,0.0,0
292.5,1001,0.0,0.0,292.5,1,0.0,0
461.3,2001,0.0,0.0,461.3,2,0.0,0
166.0,3001,0.0,0.0,166.0,3,0.0,0
324.5,4001,0.0,0.0,324.5,4,0.0,0
485.6,5001,0.0,0.0,485.6,5,0.0,0
254.7,6001,0.0,0.0,254.7,6,0.0,0
159.9,7001,0.0,0.0,159.9,7,0.0,0
305.0,8001,0.0,0.0,305.0,8,0.0,0
280.1,9001,0.0,0.0,280.1,9,0.0,0
158.5,10001,0.0,0.0,158.5,10,0.0,0
151.6,11001,0.0,0.0,151.6,11,0.0,0
366.8,12001,0.0,0.0,366.8,12,0.0,0
437.1,13001,0.0,0.0,437.1,13,0.0,0
439.8,14001,0.0,0.0,439.8,14,0.0,0
326.3,15001,0.0,0.0,326.3,15,0.0,0
445.4,16001,0.0,0.0,445.4,16,0.0,0
369.7,17001,0.0,0.0,369.7,17,0.0,0
351.5,18001,0.0,0.0,351.5,18,0.0,0
500.0,19001,0.0,0.0,500.0,19,0.0,0
292.0,20001,0.0,0.0,292.0,20,0.0,0
433.5,21001,0.0,0.0,433.5,21,0.0,0
418.8,22001,0.0,0.0,418.8,22,0.0,0
446.9,23001,0.0,0.0,446.9,23,0.0,0
500.0,24001,0.0,0.0,500.0,24,0.0,0
477.4,25001,0.0,0.0,477.4,25,0.0,0
410.1,26001,0.0,0.0,410.1,26,0.0,0
385.9,27001,0.0,0.0,385.9,27,0.0,0
474.4,28001,0.0,0.0,474.4,28,0.0,0
484.3,29001,0.0,0.0,484.3,29,0.0,0
