Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
-1470.5983,1,0.0,0.0,-1470.5983,0,0.0,0
-976.615,5001,0.0,0.0,-976.615,1,0.0,0
-368.9898,10001,0.0,0.0,-368.9898,2,0.0,0
-514.0365,15001,0.0,0.0,-514.0365,3,0.0,0
-236.6391,20001,0.0,0.0,-236.6391,4,0.0,0
-225.3846,25001,0.0,0.0,-225.3846,5,0.0,0
-331.5236,30001,0.0,0.0,-331.5236,6,0.0,0
-342.2844,35001,0.0,0.0,-342.2844,7,0.0,0
-398.1089,40001,0.0,0.0,-398.1089,8,0.0,0
-211.2361,45001,0.0,0.0,-211.2361,9,0.0,0
-464.0609,50001,0.0,0.0,-464.0609,10,0.0,0
-292.0393,55001,0.0,0.0,-292.0393,11,0.0,0
-359.8618,60001,0.0,0.0,-359.8618,12,0.0,0
-440.6479,65001,0.0,0.0,-440.6479,13,0.0,0
-255.5483,70001,0.0,0.0,-255.5483,14,0.0,0
-356.8833,75001,0.0,0.0,-356.8833,15,0.0,0
-134.9985,80001,0.0,0.0,-134.9985,16,0.0,0
-684.2602,85001,0.0,0.0,-684.2602,17,0.0,0
-544.5282,90001,0.0,0.0,-544.5282,18,0.0,0
-798.6304,95001,0.0,0.0,-798.6304,19,0.0,0
-713.29,100001,0.0,0.0,-713.29,20,0.0,0
-311.411,105001,0.0,0.0,-311.411,21,0.0,0
-860.7378,110001,0.0,0.0,-860.7378,22,0.0,0
-429.7776,115001,0.0,0.0,-429.7776,23,0.0,0
-365.9552,120001,0.0,0.0,-365.9552,24,0.0,0
-445.3828,125001,0.0,0.0,-445.3828,25,0.0,0
-249.8068,130001,0.0,0.0,-249.8068,26,0.0,0
-534.6247,135001,0.0,0.0,-534.6247,27,0.0,0
-610.2306,140001,0.0,0.0,-610.2306,28,0.0,0
-432.5813,145001,0.0,0.0,-432.5813,29,0.0,0
-508.8472,150001,0.0,0.0,-508.8472,30,0.0,0
-561.1067,155001,0.0,0.0,-561.1067,31,0.0,0
-401.5843,160001,0.0,0.0,-401.5843,32,0.0,0
-662.7647,165001,0.0,0.0,-662.7647,33,0.0,0
-718.0512,170001,0.0,0.0,-718.0512,34,0.0,0
-276.0723,175001,0.0,0.0,-276.0723,35,0.0,0
-427.8314,180001,0.0,0.0,-427.8314,36,0.0,0
-331.4241,185001,0.0,0.0,-331.4241,37,0.0,0
-583.4496,190001,0.0,0.0,-583.4496,38,0.0,0
-846.7434,195001,0.0,0.0,-846.7434,39,0.0,0
