Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
-1232.4981,1,0.0,0.0,-1232.4981,0,0.0,0
-1315.7089,5001,0.0,0.0,-1315.7089,1,0.0,0
-996.7691,10001,0.0,0.0,-996.7691,2,0.0,0
-485.301,15001,0.0,0.0,-485.301,3,0.0,0
-516.8216,20001,0.0,0.0,-516.8216,4,0.0,0
-395.0504,25001,0.0,0.0,-395.0504,5,0.0,0
-592.8609,30001,0.0,0.0,-592.8609,6,0.0,0
-706.2785,35001,0.0,0.0,-706.2785,7,0.0,0
-646.222,40001,0.0,0.0,-646.222,8,0.0,0
-842.1109,45001,0.0,0.0,-842.1109,9,0.0,0
-360.5275,50001,0.0,0.0,-360.5275,10,0.0,0
-915.4922,55001,0.0,0.0,-915.4922,11,0.0,0
-647.1749,60001,0.0,0.0,-647.1749,12,0.0,0
-670.5686,65001,0.0,0.0,-670.5686,13,0.0,0
-742.5541,70001,0.0,0.0,-742.5541,14,0.0,0
-971.9522,75001,0.0,0.0,-971.9522,15,0.0,0
-867.9332,80001,0.0,0.0,-867.9332,16,0.0,0
-768.3413,85001,0.0,0.0,-768.3413,17,0.0,0
-982.9104,90001,0.0,0.0,-982.9104,18,0.0,0
-845.8707,95001,0.0,0.0,-845.8707,19,0.0,0
-892.7101,100001,0.0,0.0,-892.7101,20,0.0,0
-866.6276,105001,0.0,0.0,-866.6276,21,0.0,0
-579.2188,110001,0.0,0.0,-579.2188,22,0.0,0
-923.1285,115001,0.0,0.0,-923.1285,23,0.0,0
-633.936,120001,0.0,0.0,-633.936,24,0.0,0
-949.8251,125001,0.0,0.0,-949.8251,25,0.0,0
-824.8625,130001,0.0,0.0,-824.8625,26,0.0,0
-1123.0679,135001,0.0,0.0,-1123.0679,27,0.0,0
-1106.7377,140001,0.0,0.0,-1106.7377,28,0.0,0
-642.8959,145001,0.0,0.0,-642.8959,29,0.0,0
-667.408,150001,0.0,0.0,-667.408,30,0.0,0
-968.7267,155001,0.0,0.0,-968.7267,31,0.0,0
-524.9326,160001,0.0,0.0,-524.9326,32,0.0,0
-753.6263,165001,0.0,0.0,-753.6263,33,0.0,0
-520.1814,170001,0.0,0.0,-520.1814,34,0.0,0
-949.0558,175001,0.0,0.0,-949.0558,35,0.0,0
-554.588,180001,0.0,0.0,-554.588,36,0.0,0
-813.8436,185001,0.0,0.0,-813.8436,37,0.0,0
-1024.8805,190001,0.0,0.0,-1024.8805,38,0.0,0
-702.7117,195001,0.0,0.0,-702.7117,39,0.0,0
