Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
9.4,1,0.0,0.0,9.4,0,0.0,0
54.5,1001,0.0,0.0,54.5,1,0.0,0
144.2,2001,0.0,0.0,144.2,2,0.0,0
473.4,3001,0.0,0.0,473.4,3,0.0,0
406.8,4001,0.0,0.0,406.8,4,0.0,0
184.5,5001,0.0,0.0,184.5,5,0.0,0
345.6,6001,0.0,0.0,345.6,6,0.0,0
453.1,7001,0.0,0.0,453.1,7,0.0,0
393.0,8001,0.0,0.0,393.0,8,0.0,0
404.8,9001,0.0,0.0,404.8,9,0.0,0
338.0,10001,0.0,0.0,338.0,10,0.0,0
500.0,11001,0.0,0.0,500.0,11,0.0,0
451.1,12001,0.0,0.0,451.1,12,0.0,0
500.0,13001,0.0,0.0,500.0,13,0.0,0
427.0,14001,0.0,0.0,427.0,14,0.0,0
452.1,15001,0.0,0.0,452.1,15,0.0,0
451.9,16001,0.0,0.0,451.9,16,0.0,0
430.3,17001,0.0,0.0,430.3,17,0.0,0
500.0,18001,0.0,0.0,500.0,18,0.0,0
353.1,19001,0.0,0.0,353.1,19,0.0,0
484.6,20001,0.0,0.0,484.6,20,0.0,0
500.0,21001,0.0,0.0,500.0,21,0.0,0
500.0,22001,0.0,0.0,500.0,22,0.0,0
500.0,23001,0.0,0.0,500.0,23,0.0,0
500.0,24001,0.0,0.0,500.0,24,0.0,0
500.0,25001,0.0,0.0,500.0,25,0.0,0
467.8,26001,0.0,0.0,467.8,26,0.0,0
500.0,27001,0.0,0.0,500.0,27,0.0,0
500.0,28001,0.0,0.0,500.0,28,0.0,0
500.0,29001,0.0,0.0,500.0,29,0.0,0
