Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
9.5,1,0.0,0.0,9.5,0,0.0,0
118.8,1001,0.0,0.0,118.8,1,0.0,0
353.0,2001,0.0,0.0,353.0,2,0.0,0
297.1,3001,0.0,0.0,297.1,3,0.0,0
382.4,4001,0.0,0.0,382.4,4,0.0,0
398.6,5001,0.0,0.0,398.6,5,0.0,0
184.9,6001,0.0,0.0,184.9,6,0.0,0
263.3,7001,0.0,0.0,263.3,7,0.0,0
500.0,8001,0.0,0.0,500.0,8,0.0,0
493.1,9001,0.0,0.0,493.1,9,0.0,0
404.0,10001,0.0,0.0,404.0,10,0.0,0
190.4,11001,0.0,0.0,190.4,11,0.0,0
418.6,12001,0.0,0.0,418.6,12,0.0,0
409.1,13001,0.0,0.0,409.1,13,0.0,0
358.8,14001,0.0,0.0,358.8,14,0.0,0
304.1,15001,0.0,0.0,304.1,15,0.0,0
392.4,16001,0.0,0.0,392.4,16,0.0,0
500.0,17001,0.0,0.0,500.0,17,0.0,0
484.8,18001,0.0,0.0,484.8,18,0.0,0
381.3,19001,0.0,0.0,381.3,19,0.0,0
448.5,20001,0.0,0.0,448.5,20,0.0,0
481.1,21001,0.0,0.0,481.1,21,0.0,0
457.9,22001,0.0,0.0,457.9,22,0.0,0
500.0,23001,0.0,0.0,500.0,23,0.0,0
451.8,24001,0.0,0.0,451.8,24,0.0,0
450.7,25001,0.0,0.0,450.7,25,0.0,0
500.0,26001,0.0,0.0,500.0,26,0.0,0
332.6,27001,0.0,0.0,332.6,27,0.0,0
480.1,28001,0.0,0.0,480.1,28,0.0,0
486.7,29001,0.0,0.0,486.7,29,0.0,0
