Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
-1341.9495,1,0.0,0.0,-1341.9495,0,0.0,0
-1547.6071,5001,0.0,0.0,-1547.6071,1,0.0,0
-864.4821,10001,0.0,0.0,-864.4821,2,0.0,0
-881.3992,15001,0.0,0.0,-881.3992,3,0.0,0
-698.8277,20001,0.0,0.0,-698.8277,4,0.0,0
-429.3814,25001,0.0,0.0,-429.3814,5,0.0,0
-905.7434,30001,0.0,0.0,-905.7434,6,0.0,0
-581.265,35001,0.0,0.0,-581.265,7,0.0,0
-446.3094,40001,0.0,0.0,-446.3094,8,0.0,0
-1038.0034,45001,0.0,0.0,-1038.0034,9,0.0,0
-581.0883,50001,0.0,0.0,-581.0883,10,0.0,0
-978.3275,55001,0.0,0.0,-978.3275,11,0.0,0
-480.3421,60001,0.0,0.0,-480.3421,12,0.0,0
-683.5326,65001,0.0,0.0,-683.5326,13,0.0,0
-992.8529,70001,0.0,0.0,-992.8529,14,0.0,0
-547.8088,75001,0.0,0.0,-547.8088,15,0.0,0
-956.2887,80001,0.0,0.0,-956.2887,16,0.0,0
-947.2529,85001,0.0,0.0,-947.2529,17,0.0,0
-954.06,90001,0.0,0.0,-954.06,18,0.0,0
-892.886,95001,0.0,0.0,-892.886,19,0.0,0
-1163.6942,100001,0.0,0.0,-1163.6942,20,0.0,0
-1129.05,105001,0.0,0.0,-1129.05,21,0.0,0
-924.8291,110001,0.0,0.0,-924.8291,22,0.0,0
-946.2617,115001,0.0,0.0,-946.2617,23,0.0,0
-713.4392,120001,0.0,0.0,-713.4392,24,0.0,0
-1029.0697,125001,0.0,0.0,-1029.0697,25,0.0,0
-862.5084,130001,0.0,0.0,-862.5084,26,0.0,0
-629.7326,135001,0.0,0.0,-629.7326,27,0.0,0
-936.5973,140001,0.0,0.0,-936.5973,28,0.0,0
-1053.6587,145001,0.0,0.0,-1053.6587,29,0.0,0
-888.9062,150001,0.0,0.0,-888.9062,30,0.0,0
-836.5507,155001,0.0,0.0,-836.5507,31,0.0,0
-893.2633,160001,0.0,0.0,-893.2633,32,0.0,0
-759.0939,165001,0.0,0.0,-759.0939,33,0.0,0
-966.72,170001,0.0,0.0,-966.72,34,0.0,0
-817.9193,175001,0.0,0.0,-817.9193,35,0.0,0
-909.6079,180001,0.0,0.0,-909.6079,36,0.0,0
-889.7879,185001,0.0,0.0,-889.7879,37,0.0,0
-772.0694,190001,0.0,0.0,-772.0694,38,0.0,0
-923.5633,195001,0.0,0.0,-923.5633,39,0.0,0
