Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
9.4,1,0.0,0.0,9.4,0,0.0,0
142.2,1001,0.0,0.0,142.2,1,0.0,0
244.2,2001,0.0,0.0,244.2,2,0.0,0
262.7,3001,0.0,0.0,262.7,3,0.0,0
213.5,4001,0.0,0.0,213.5,4,0.0,0
200.5,5001,0.0,0.0,200.5,5,0.0,0
141.5,6001,0.0,0.0,141.5,6,0.0,0
196.8,7001,0.0,0.0,196.8,7,0.0,0
302.3,8001,0.0,0.0,302.3,8,0.0,0
185.8,9001,0.0,0.0,185.8,9,0.0,0
249.8,10001,0.0,0.0,249.8,10,0.0,0
317.2,11001,0.0,0.0,317.2,11,0.0,0
275.1,12001,0.0,0.0,275.1,12,0.0,0
233.5,13001,0.0,0.0,233.5,13,0.0,0
194.4,14001,0.0,0.0,194.4,14,0.0,0
279.2,15001,0.0,0.0,279.2,15,0.0,0
257.2,16001,0.0,0.0,257.2,16,0.0,0
259.3,17001,0.0,0.0,259.3,17,0.0,0
326.9,18001,0.0,0.0,326.9,18,0.0,0
332.3,19001,0.0,0.0,332.3,19,0.0,0
199.6,20001,0.0,0.0,199.6,20,0.0,0
315.7,21001,0.0,0.0,315.7,21,0.0,0
98.1,22001,0.0,0.0,98.1,22,0.0,0
240.3,23001,0.0,0.0,240.3,23,0.0,0
306.2,24001,0.0,0.0,306.2,24,0.0,0
277.8,25001,0.0,0.0,277.8,25,0.0,0
306.0,26001,0.0,0.0,306.0,26,0.0,0
309.1,27001,0.0,0.0,309.1,27,0.0,0
252.6,28001,0.0,0.0,252.6,28,0.0,0
318.7,29001,0.0,0.0,318.7,29,0.0,0
