Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
-1356.1896,1,0.0,0.0,-1356.1896,0,0.0,0
-1014.5523,5001,0.0,0.0,-1014.5523,1,0.0,0
-471.3871,10001,0.0,0.0,-471.3871,2,0.0,0
-259.1767,15001,0.0,0.0,-259.1767,3,0.0,0
-373.8294,20001,0.0,0.0,-373.8294,4,0.0,0
-462.9976,25001,0.0,0.0,-462.9976,5,0.0,0
-501.8983,30001,0.0,0.0,-501.8983,6,0.0,0
-351.5999,35001,0.0,0.0,-351.5999,7,0.0,0
-516.5924,40001,0.0,0.0,-516.5924,8,0.0,0
-849.7338,45001,0.0,0.0,-849.7338,9,0.0,0
-1034.8315,50001,0.0,0.0,-1034.8315,10,0.0,0
-813.1089,55001,0.0,0.0,-813.1089,11,0.0,0
-695.0726,60001,0.0,0.0,-695.0726,12,0.0,0
-1176.3891,65001,0.0,0.0,-1176.3891,13,0.0,0
-679.7599,70001,0.0,0.0,-679.7599,14,0.0,0
-861.2751,75001,0.0,0.0,-861.2751,15,0.0,0
-830.0535,80001,0.0,0.0,-830.0535,16,0.0,0
-1098.9266,85001,0.0,0.0,-1098.9266,17,0.0,0
-796.7516,90001,0.0,0.0,-796.7516,18,0.0,0
-926.1443,95001,0.0,0.0,-926.1443,19,0.0,0
-1195.5835,100001,0.0,0.0,-1195.5835,20,0.0,0
-1202.9996,105001,0.0,0.0,-1202.9996,21,0.0,0
-1243.4168,110001,0.0,0.0,-1243.4168,22,0.0,0
-1413.9721,115001,0.0,0.0,-1413.9721,23,0.0,0
-1431.5327,120001,0.0,0.0,-1431.5327,24,0.0,0
-1148.3881,125001,0.0,0.0,-1148.3881,25,0.0,0
-1009.3676,130001,0.0,0.0,-1009.3676,26,0.0,0
-1185.7583,135001,0.0,0.0,-1185.7583,27,0.0,0
-1292.7879,140001,0.0,0.0,-1292.7879,28,0.0,0
-1230.8295,145001,0.0,0.0,-1230.8295,29,0.0,0
-1154.3184,150001,0.0,0.0,-1154.3184,30,0.0,0
-981.3057,155001,0.0,0.0,-981.3057,31,0.0,0
-1210.3632,160001,0.0,0.0,-1210.3632,32,0.0,0
-1469.0619,165001,0.0,0.0,-1469.0619,33,0.0,0
-1312.9564,170001,0.0,0.0,-1312.9564,34,0.0,0
-989.6949,175001,0.0,0.0,-989.6949,35,0.0,0
-1468.4143,180001,0.0,0.0,-1468.4143,36,0.0,0
-1094.6426,185001,0.0,0.0,-1094.6426,37,0.0,0
-1156.5386,190001,0.0,0.0,-1156.5386,38,0.0,0
-1257.9646,195001,0.0,0.0,-1257.9646,39,0.0,0
