Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
-1337.2738,1,0.0,0.0,-1337.2738,0,0.0,0
-1395.2902,5001,0.0,0.0,-1395.2902,1,0.0,0
-1193.0638,10001,0.0,0.0,-1193.0638,2,0.0,0
-1139.4431,15001,0.0,0.0,-1139.4431,3,0.0,0
-1137.741,20001,0.0,0.0,-1137.741,4,0.0,0
-773.953,25001,0.0,0.0,-773.953,5,0.0,0
-1172.1662,30001,0.0,0.0,-1172.1662,6,0.0,0
-1159.3741,35001,0.0,0.0,-1159.3741,7,0.0,0
-750.8028,40001,0.0,0.0,-750.8028,8,0.0,0
-1045.0722,45001,0.0,0.0,-1045.0722,9,0.0,0
-862.2073,50001,0.0,0.0,-862.2073,10,0.0,0
-975.127,55001,0.0,0.0,-975.127,11,0.0,0
-880.5806,60001,0.0,0.0,-880.5806,12,0.0,0
-658.2584,65001,0.0,0.0,-658.2584,13,0.0,0
-486.9079,70001,0.0,0.0,-486.9079,14,0.0,0
-1094.6501,75001,0.0,0.0,-1094.6501,15,0.0,0
-790.4173,80001,0.0,0.0,-790.4173,16,0.0,0
-1190.2769,85001,0.0,0.0,-1190.2769,17,0.0,0
-1063.2901,90001,0.0,0.0,-1063.2901,18,0.0,0
-1220.1121,95001,0.0,0.0,-1220.1121,19,0.0,0
-1277.0135,100001,0.0,0.0,-1277.0135,20,0.0,0
-723.8036,105001,0.0,0.0,-723.8036,21,0.0,0
-1299.6621,110001,0.0,0.0,-1299.6621,22,0.0,0
-1290.9728,115001,0.0,0.0,-1290.9728,23,0.0,0
-1186.5858,120001,0.0,0.0,-1186.5858,24,0.0,0
-1566.0385,125001,0.0,0.0,-1566.0385,25,0.0,0
-914.0972,130001,0.0,0.0,-914.0972,26,0.0,0
-1329.0277,135001,0.0,0.0,-1329.0277,27,0.0,0
-1112.6207,140001,0.0,0.0,-1112.6207,28,0.0,0
-1063.9163,145001,0.0,0.0,-1063.9163,29,0.0,0
-1034.5163,150001,0.0,0.0,-1034.5163,30,0.0,0
-1084.2333,155001,0.0,0.0,-1084.2333,31,0.0,0
-1482.042,160001,0.0,0.0,-1482.042,32,0.0,0
-1606.1319,165001,0.0,0.0,-1606.1319,33,0.0,0
-1513.5521,170001,0.0,0.0,-1513.5521,34,0.0,0
-1543.3827,175001,0.0,0.0,-1543.3827,35,0.0,0
-1415.9949,180001,0.0,0.0,-1415.9949,36,0.0,0
-1634.7855,185001,0.0,0.0,-1634.7855,37,0.0,0
-1585.8616,190001,0.0,0.0,-1585.8616,38,0.0,0
-1605.3278,195001,0.0,0.0,-1605.3278,39,0.0,0
