Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
-1435.1908,1,0.0,0.0,-1435.1908,0,0.0,0
-1595.9975,5001,0.0,0.0,-1595.9975,1,0.0,0
-515.9845,10001,0.0,0.0,-515.9845,2,0.0,0
-420.0397,15001,0.0,0.0,-420.0397,3,0.0,0
-352.4391,20001,0.0,0.0,-352.4391,4,0.0,0
-618.9352,25001,0.0,0.0,-618.9352,5,0.0,0
-390.3598,30001,0.0,0.0,-390.3598,6,0.0,0
-560.9841,35001,0.0,0.0,-560.9841,7,0.0,0
-517.6163,40001,0.0,0.0,-517.6163,8,0.0,0
-554.0912,45001,0.0,0.0,-554.0912,9,0.0,0
-730.5168,50001,0.0,0.0,-730.5168,10,0.0,0
-537.6421,55001,0.0,0.0,-537.6421,11,0.0,0
-301.0174,60001,0.0,0.0,-301.0174,12,0.0,0
-308.3276,65001,0.0,0.0,-308.3276,13,0.0,0
-551.5119,70001,0.0,0.0,-551.5119,14,0.0,0
-617.976,75001,0.0,0.0,-617.976,15,0.0,0
-834.3496,80001,0.0,0.0,-834.3496,16,0.0,0
-849.7696,85001,0.0,0.0,-849.7696,17,0.0,0
-665.9042,90001,0.0,0.0,-665.9042,18,0.0,0
-889.6793,95001,0.0,0.0,-889.6793,19,0.0,0
-557.9703,100001,0.0,0.0,-557.9703,20,0.0,0
-736.8242,105001,0.0,0.0,-736.8242,21,0.0,0
-732.0008,110001,0.0,0.0,-732.0008,22,0.0,0
-529.632,115001,0.0,0.0,-529.632,23,0.0,0
-778.7985,120001,0.0,0.0,-778.7985,24,0.0,0
-711.6928,125001,0.0,0.0,-711.6928,25,0.0,0
-705.3404,130001,0.0,0.0,-705.3404,26,0.0,0
-883.296,135001,0.0,0.0,-883.296,27,0.0,0
-769.3893,140001,0.0,0.0,-769.3893,28,0.0,0
-966.9165,145001,0.0,0.0,-966.9165,29,0.0,0
-755.5228,150001,0.0,0.0,-755.5228,30,0.0,0
-739.7388,155001,0.0,0.0,-739.7388,31,0.0,0
-495.2794,160001,0.0,0.0,-495.2794,32,0.0,0
-826.6383,165001,0.0,0.0,-826.6383,33,0.0,0
-790.3453,170001,0.0,0.0,-790.3453,34,0.0,0
-826.1134,175001,0.0,0.0,-826.1134,35,0.0,0
-768.9689,180001,0.0,0.0,-768.9689,36,0.0,0
-385.6298,185001,0.0,0.0,-385.6298,37,0.0,0
-690.7755,190001,0.0,0.0,-690.7755,38,0.0,0
-470.0649,195001,0.0,0.0,-470.0649,39,0.0,0
