Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
-1314.2472,1,0.0,0.0,-1314.2472,0,0.0,0
-1407.1919,5001,0.0,0.0,-1407.1919,1,0.0,0
-1072.2347,10001,0.0,0.0,-1072.2347,2,0.0,0
-923.396,15001,0.0,0.0,-923.396,3,0.0,0
-575.4911,20001,0.0,0.0,-575.4911,4,0.0,0
-373.4744,25001,0.0,0.0,-373.4744,5,0.0,0
-755.9401,30001,0.0,0.0,-755.9401,6,0.0,0
-722.7629,35001,0.0,0.0,-722.7629,7,0.0,0
-821.6188,40001,0.0,0.0,-821.6188,8,0.0,0
-389.4563,45001,0.0,0.0,-389.4563,9,0.0,0
-779.5276,50001,0.0,0.0,-779.5276,10,0.0,0
-817.246,55001,0.0,0.0,-817.246,11,0.0,0
-697.846,60001,0.0,0.0,-697.846,12,0.0,0
-621.9933,65001,0.0,0.0,-621.9933,13,0.0,0
-716.456,70001,0.0,0.0,-716.456,14,0.0,0
-1114.3297,75001,0.0,0.0,-1114.3297,15,0.0,0
-743.4544,80001,0.0,0.0,-743.4544,16,0.0,0
-809.9867,85001,0.0,0.0,-809.9867,17,0.0,0
-798.1441,90001,0.0,0.0,-798.1441,18,0.0,0
-810.2138,95001,0.0,0.0,-810.2138,19,0.0,0
-803.0353,100001,0.0,0.0,-803.0353,20,0.0,0
-1108.3198,105001,0.0,0.0,-1108.3198,21,0.0,0
-941.7722,110001,0.0,0.0,-941.7722,22,0.0,0
-1172.1316,115001,0.0,0.0,-1172.1316,23,0.0,0
-1146.9584,120001,0.0,0.0,-1146.9584,24,0.0,0
-1121.2337,125001,0.0,0.0,-1121.2337,25,0.0,0
-1014.7546,130001,0.0,0.0,-1014.7546,26,0.0,0
-1425.2723,135001,0.0,0.0,-1425.2723,27,0.0,0
-1278.7758,140001,0.0,0.0,-1278.7758,28,0.0,0
-847.2073,145001,0.0,0.0,-847.2073,29,0.0,0
-679.2498,150001,0.0,0.0,-679.2498,30,0.0,0
-1379.9139,155001,0.0,0.0,-1379.9139,31,0.0,0
-1071.9551,160001,0.0,0.0,-1071.9551,32,0.0,0
-1456.7955,165001,0.0,0.0,-1456.7955,33,0.0,0
-1171.2206,170001,0.0,0.0,-1171.2206,34,0.0,0
-1494.3137,175001,0.0,0.0,-1494.3137,35,0.0,0
-1332.6926,180001,0.0,0.0,-1332.6926,36,0.0,0
-946.0037,185001,0.0,0.0,-946.0037,37,0.0,0
-1011.6959,190001,0.0,0.0,-1011.6959,38,0.0,0
-783.1978,195001,0.0,0.0,-783.1978,39,0.0,0
