Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
10.0,1,0.0,0.0,10.0,0,0.0,0
45.1,1001,0.0,0.0,45.1,1,0.0,0
66.8,2001,0.0,0.0,66.8,2,0.0,0
391.3,3001,0.0,0.0,391.3,3,0.0,0
464.5,4001,0.0,0.0,464.5,4,0.0,0
371.0,5001,0.0,0.0,371.0,5,0.0,0
500.0,6001,0.0,0.0,500.0,6,0.0,0
452.5,7001,0.0,0.0,452.5,7,0.0,0
421.4,8001,0.0,0.0,421.4,8,0.0,0
380.1,9001,0.0,0.0,380.1,9,0.0,0
422.8,10001,0.0,0.0,422.8,10,0.0,0
458.6,11001,0.0,0.0,458.6,11,0.0,0
488.1,12001,0.0,0.0,488.1,12,0.0,0
408.2,13001,0.0,0.0,408.2,13,0.0,0
466.4,14001,0.0,0.0,466.4,14,0.0,0
484.2,15001,0.0,0.0,484.2,15,0.0,0
409.8,16001,0.0,0.0,409.8,16,0.0,0
394.2,17001,0.0,0.0,394.2,17,0.0,0
281.4,18001,0.0,0.0,281.4,18,0.0,0
458.9,19001,0.0,0.0,458.9,19,0.0,0
497.9,20001,0.0,0.0,497.9,20,0.0,0
500.0,21001,0.0,0.0,500.0,21,0.0,0
476.1,22001,0.0,0.0,476.1,22,0.0,0
479.7,23001,0.0,0.0,479.7,23,0.0,0
500.0,24001,0.0,0.0,500.0,24,0.0,0
400.0,25001,0.0,0.0,400.0,25,0.0,0
496.3,26001,0.0,0.0,496.3,26,0.0,0
500.0,27001,0.0,0.0,500.0,27,0.0,0
497.6,28001,0.0,0.0,497.6,28,0.0,0
500.0,29001,0.0,0.0,500.0,29,0.0,0
