Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
10.5,1,0.0,0.0,10.5,0,0.0,0
112.4,1001,0.0,0.0,112.4,1,0.0,0
201.3,2001,0.0,0.0,201.3,2,0.0,0
115.8,3001,0.0,0.0,115.8,3,0.0,0
128.3,4001,0.0,0.0,128.3,4,0.0,0
395.6,5001,0.0,0.0,395.6,5,0.0,0
369.0,6001,0.0,0.0,369.0,6,0.0,0
451.0,7001,0.0,0.0,451.0,7,0.0,0
321.7,8001,0.0,0.0,321.7,8,0.0,0
276.8,9001,0.0,0.0,276.8,9,0.0,0
243.9,10001,0.0,0.0,243.9,10,0.0,0
464.4,11001,0.0,0.0,464.4,11,0.0,0
477.1,12001,0.0,0.0,477.1,12,0.0,0
451.6,13001,0.0,0.0,451.6,13,0.0,0
500.0,14001,0.0,0.0,500.0,14,0.0,0
500.0,15001,0.0,0.0,500.0,15,0.0,0
365.3,16001,0.0,0.0,365.3,16,0.0,0
498.3,17001,0.0,0.0,498.3,17,0.0,0
412.2,18001,0.0,0.0,412.2,18,0.0,0
489.3,19001,0.0,0.0,489.3,19,0.0,0
500.0,20001,0.0,0.0,500.0,20,0.0,0
490.8,21001,0.0,0.0,490.8,21,0.0,0
500.0,22001,0.0,0.0,500.0,22,0.0,0
500.0,23001,0.0,0.0,500.0,23,0.0,0
500.0,24001,0.0,0.0,500.0,24,0.0,0
500.0,25001,0.0,0.0,500.0,25,0.0,0
500.0,26001,0.0,0.0,500.0,26,0.0,0
500.0,27001,0.0,0.0,500.0,27,0.0,0
500.0,28001,0.0,0.0,500.0,28,0.0,0
500.0,29001,0.0,0.0,500.0,29,0.0,0
